Name,Team,Position,Cost,Assists,Goals_scored,Yellow_cards,Minutes,Points
Azpilicueta,CHE,DEF,65,6,2,1,3330,175
Bertrand,SOU,DEF,50,5,0,2,3135,103
Christensen,CHE,DEF,55,0,0,0,2067,79
Daniels,BOU,DEF,45,3,1,0,3001,94
Eriksen,TOT,MID,95,10,11,0,3218,199
Fabianski,WHU,GKP,45,0,0,0,3420,157
Firmino,LIV,FWD,95,8,15,1,2760,181
Kane,TOT,FWD,125,2,29,5,3074,217
Mahrez,MCI,MID,90,13,12,2,2948,195
Ryan,BHA,GKP,45,0,0,0,3420,146
Salah,LIV,MID,130,12,32,1,2905,303
Son,TOT,MID,85,8,12,0,2292,178
Sterling,MCI,MID,110,17,18,3,2584,229
Vardy,LEI,FWD,90,2,20,3,3248,183
Walker,MCI,DEF,65,6,0,2,2784,138
